USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    09:14   0:00 [kthreadd]
root          42  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/4]
root          44  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/4:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/5]
root          46  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/5]
root          47  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/5]
root          48  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/5]
root          50  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/5:0H-events_highpri]
root          51  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/6]
root          52  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/6]
root          53  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/6]
root          54  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/6]
root          55  0.0  0.0      0     0 ?        I    09:14   0:00  \_ [kworker/6:0-events]
root          56  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/6:0H-events_highpri]
root          57  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/7]
root          58  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/7]
root          59  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/7]
root          60  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/7]
root          62  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/7:0H-events_highpri]
root          63  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/8]
root          64  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/8]
root          65  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/8]
root          66  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/8]
root          68  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/8:0H-events_highpri]
root          69  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/9]
root          70  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/9]
root          71  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/9]
root          72  0.0  0.0      0     0 ?        S    09:14   0:01  \_ [ksoftirqd/9]
root          74  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/9:0H-events_highpri]
root          75  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/10]
root          76  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/10]
root          77  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/10]
root          78  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/10]
root          80  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/10:0H-events_highpri]
root          81  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/11]
root          82  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/11]
root          83  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/11]
root          84  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/11]
root          86  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/11:0H-events_highpri]
root          87  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/12]
root          88  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/12]
root          89  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/12]
root          90  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/12]
root          92  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/12:0H-events_highpri]
root          93  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/13]
root          94  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/13]
root          95  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/13]
root          96  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/13]
root          98  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/13:0H-events_highpri]
root          99  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/14]
root         100  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/14]
root         101  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/14]
root         102  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/14]
root         104  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/14:0H-events_highpri]
root         105  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/15]
root         106  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/15]
root         107  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/15]
root         108  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/15]
root         109  0.0  0.0      0     0 ?        I    09:14   0:00  \_ [kworker/15:0-events]
root         110  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/15:0H-events_highpri]
root         111  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [kdevtmpfs]
root         112  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-inet_]
root         114  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [kauditd]
root         115  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [khungtaskd]
root         116  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [oom_reaper]
root         118  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-write]
root         119  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [kcompactd0]
root         120  0.0  0.0      0     0 ?        SN   09:14   0:00  \_ [ksmd]
root         122  0.0  0.0      0     0 ?        SN   09:14   0:00  \_ [khugepaged]
root         123  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-kinte]
root         124  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-kbloc]
root         125  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-blkcg]
root         126  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [irq/9-acpi]
root         127  0.0  0.0      0     0 ?        I    09:14   0:00  \_ [kworker/8:1-i915-unordered]
root         129  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-tpm_d]
root         130  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-ata_s]
root         131  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-md]
root         132  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-md_bi]
root         133  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-edac-]
root         134  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-devfr]
root         135  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [watchdogd]
root         136  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/0:1H-events_highpri]
root         137  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [kswapd0]
root         138  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ecryptfs-kthread]
root         139  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-kthro]
root         140  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [irq/124-pciehp]
root         141  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-acpi_]
root         142  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [hwrng]
root         146  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-mld]
root         147  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/9:1H-events_highpri]
root         148  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-ipv6_]
root         157  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-kstrp]
root         178  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-charg]
root         200  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/4:1H-events_highpri]
root         203  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/10:1H-kblockd]
root         204  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/3:1H-events_highpri]
root         218  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/12:1H-events_highpri]
root         219  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/2:1H-events_highpri]
root         220  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/15:1H-kblockd]
root         221  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/13:1H-kblockd]
root         222  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/5:1H-events_highpri]
root         223  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/7:1H-kblockd]
root         224  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/1:1H-events_highpri]
root         226  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/14:1H-events_highpri]
root         227  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/6:1H-events_highpri]
root         230  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/11:1H-events_highpri]
root         243  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/8:1H-events_highpri]
root         288  0.0  0.0      0     0 ?        I    09:14   0:00  \_ [kworker/5:1-events]
root         289  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [irq/177-DELL0A8D:00]
root         293  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-USBC0]
root         296  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-nvme-]
root         297  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-nvme-]
root         298  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-nvme-]
root         299  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-nvme-]
root         303  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-USBC0]
root         305  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [scsi_eh_0]
root         306  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-scsi_]
root         307  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [usb-storage]
root         308  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-uas]
root         320  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-raid5]
root         360  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [jbd2/nvme0n1p5-8]
root         361  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-ext4-]
root         509  0.0  0.0      0     0 ?        I    09:14   0:01  \_ [kworker/1:2-events]
root         571  0.0  0.0      0     0 ?        I    09:15   0:00  \_ [kworker/12:2-i915-unordered]
root         593  0.0  0.0      0     0 ?        I<   09:15   0:00  \_ [kworker/R-cfg80]
root         602  0.0  0.0      0     0 ?        I<   09:15   0:00  \_ [kworker/R-crypt]
root         617  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [jbd2/nvme0n1p6-8]
root         618  0.0  0.0      0     0 ?        I<   09:15   0:00  \_ [kworker/R-ext4-]
root         624  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/215-iwlwifi:default_queue]
root         625  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/216-iwlwifi:queue_1]
root         626  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/217-iwlwifi:queue_2]
root         627  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/218-iwlwifi:queue_3]
root         628  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/219-iwlwifi:queue_4]
root         629  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/220-iwlwifi:queue_5]
root         630  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/221-iwlwifi:queue_6]
root         631  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/222-iwlwifi:queue_7]
root         632  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/223-iwlwifi:queue_8]
root         633  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/224-iwlwifi:queue_9]
root         634  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/225-iwlwifi:queue_10]
root         635  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [jbd2/nvme0n1p8-8]
root         636  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/226-iwlwifi:queue_11]
root         637  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/227-iwlwifi:queue_12]
root         638  0.0  0.0      0     0 ?        I<   09:15   0:00  \_ [kworker/R-ext4-]
root         639  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/228-iwlwifi:queue_13]
root         640  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/229-iwlwifi:queue_14]
root         641  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/230-iwlwifi:exception]
root         713  0.0  0.0      0     0 ?        I    09:15   0:00  \_ [kworker/14:2-events]
root         735  0.0  0.0      0     0 ?        I<   09:15   0:00  \_ [kworker/R-ttm]
root         783  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [card1-crtc0]
root         784  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [card1-crtc1]
root         785  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [card1-crtc2]
root         786  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [card1-crtc3]
root         803  0.0  0.0      0     0 ?        I<   09:15   0:00  \_ [kworker/R-nvkm-]
root         811  0.0  0.0      0     0 ?        I<   09:15   0:00  \_ [kworker/R-ttm]
root         812  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [card2-crtc0]
root         813  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [card2-crtc1]
root         814  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [card2-crtc2]
root         815  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [card2-crtc3]
root        1121  0.0  0.0      0     0 ?        I    09:15   0:02  \_ [kworker/13:2-events]
root        1365  0.0  0.0      0     0 ?        S    09:15   0:00  \_ [irq/233-AudioDSP]
root        2119  0.0  0.0      0     0 ?        S<   09:15   0:00  \_ [krfcommd]
root        2350  0.0  0.0      0     0 ?        I    09:20   0:00  \_ [kworker/11:0-mm_percpu_wq]
root        2375  0.0  0.0      0     0 ?        I    09:33   0:00  \_ [kworker/3:1-events]
root        2381  0.0  0.0      0     0 ?        I    09:35   0:00  \_ [kworker/7:2-events]
root        2465  0.0  0.0      0     0 ?        I    09:43   0:00  \_ [kworker/u32:61-events_freezable_power_]
root        2469  0.0  0.0      0     0 ?        I    09:43   0:00  \_ [kworker/u32:65-events_power_efficient]
root        2486  0.0  0.0      0     0 ?        I    09:43   0:00  \_ [kworker/u32:82-flush-259:7]
root        2506  0.0  0.0      0     0 ?        S    09:43   0:00  \_ [irq/214-mei_me]
root        2646  0.0  0.0      0     0 ?        I    09:43   0:00  \_ [kworker/8:0-events]
root        4306  0.0  0.0      0     0 ?        I    09:43   0:00  \_ [kworker/4:2-mm_percpu_wq]
root        6799  0.0  0.0      0     0 ?        I    09:49   0:00  \_ [kworker/0:2-i915-unordered]
root        7511  0.0  0.0      0     0 ?        I    10:00   0:00  \_ [kworker/10:1-events]
root        7774  0.0  0.0      0     0 ?        I    10:03   0:00  \_ [kworker/15:1-mm_percpu_wq]
root        7826  0.0  0.0      0     0 ?        I    10:03   0:00  \_ [kworker/11:1-events]
root        9934  0.0  0.0      0     0 ?        I    10:08   0:00  \_ [kworker/12:1-events]
root       10164  0.0  0.0      0     0 ?        I    10:08   0:00  \_ [kworker/0:1-events]
root       10592  0.0  0.0      0     0 ?        I    10:09   0:00  \_ [kworker/1:0-events]
root       10707  0.0  0.0      0     0 ?        I    10:09   0:00  \_ [kworker/6:2-events]
root       11131  0.0  0.0      0     0 ?        I    10:10   0:00  \_ [kworker/2:0-i915-unordered]
root       11489  0.0  0.0      0     0 ?        I    10:11   0:00  \_ [kworker/7:1-events]
root       11866  0.0  0.0      0     0 ?        I    10:12   0:00  \_ [kworker/u32:1-flush-259:7]
root       11882  0.0  0.0      0     0 ?        I    10:12   0:00  \_ [kworker/8:3-events]
root       11898  0.0  0.0      0     0 ?        I    10:12   0:00  \_ [kworker/10:2-i915-unordered]
root       12132  0.0  0.0      0     0 ?        I    10:13   0:00  \_ [kworker/4:0-events]
root       12445  0.0  0.0      0     0 ?        I    10:13   0:00  \_ [kworker/3:2]
root       13337  0.0  0.0      0     0 ?        I    10:15   0:00  \_ [kworker/14:0-events]
root       14011  0.0  0.0      0     0 ?        I    10:17   0:00  \_ [kworker/5:2-events]
root       14012  0.0  0.0      0     0 ?        I    10:17   0:00  \_ [kworker/13:0-events]
root       14206  0.0  0.0      0     0 ?        I    10:17   0:00  \_ [kworker/2:1-events]
root       14257  0.0  0.0      0     0 ?        I    10:17   0:00  \_ [kworker/1:1-events]
root       14290  0.0  0.0      0     0 ?        I    10:18   0:00  \_ [kworker/12:0]
root       14364  0.0  0.0      0     0 ?        I    10:18   0:00  \_ [kworker/11:2-events]
root       14514  0.0  0.0      0     0 ?        I    10:18   0:00  \_ [kworker/6:1-mm_percpu_wq]
root       14681  0.0  0.0      0     0 ?        I    10:19   0:00  \_ [kworker/3:0-events]
root       15053  0.0  0.0      0     0 ?        I    10:20   0:00  \_ [kworker/11:3-events]
root       15181  0.0  0.0      0     0 ?        I    10:20   0:00  \_ [kworker/12:3]
root       15211  0.0  0.0      0     0 ?        I    10:20   0:00  \_ [kworker/4:1-events]
root       15605  0.0  0.0      0     0 ?        I    10:21   0:00  \_ [kworker/8:2-events]
root       15877  0.0  0.0      0     0 ?        I    10:21   0:00  \_ [kworker/u32:0-ext4-rsv-conversion]
root       16208  0.0  0.0      0     0 ?        I    10:21   0:00  \_ [kworker/14:1-events]
root       16888  0.0  0.0      0     0 ?        I    10:23   0:00  \_ [kworker/15:2-events]
root       16889  0.0  0.0      0     0 ?        I    10:23   0:00  \_ [kworker/15:3-events]
root       16890  0.0  0.0      0     0 ?        I    10:23   0:00  \_ [kworker/7:0-events]
root       16906  0.0  0.0      0     0 ?        I    10:23   0:00  \_ [kworker/5:0-events]
root           1  0.0  0.0 167460 12036 ?        Ss   09:14   0:00 /sbin/init splash
mysql       1160  0.6  2.4 2308316 394920 ?      Ssl  09:15   0:27 /usr/sbin/mysqld
root        3120  0.2  0.3 376380 55824 ?        Ssl  09:43   0:06 /usr/libexec/packagekitd
ben         4212  0.2  1.4 2297976 238552 ?      Sl   09:43   0:05 /opt/sogoupinyin/files/bin/sogoupinyin-service LANGUAGE=en_US:en USER=ben LC_TIME=zh_CN.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/ben DESKTOP_SESSION=ubuntu GTK_MODULES=gail:atk-bridge XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=zh_CN.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus LIBVIRT_DEFAULT_URI=qemu:///system IM_CONFIG_PHASE=2 GTK_IM_MODULE=fcitx LOGNAME=ben XDG_SESSION_CLASS=user XDG_SESSION_ID=c2 PATH=/home/ben/.cargo/bin:/home/ben/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US PAPERSIZE=a4 XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=zh_CN.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 DISPLAY=:0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=ubuntu:GNOME LC_TELEPHONE=zh_CN.UTF-8 XMODIFIERS=@im=fcitx XDG_SESSION_DESKTOP=ubuntu XAUTHORITY=/home/ben/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/ben SHELL=/usr/bin/zsh LC_NAME=zh_CN.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=ubuntu LC_MEASUREMENT=zh_CN.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=zh_CN.UTF-8 QT_IM_MODULE=fcitx XDG_VTNR=7 PWD=/home/ben XDG_CONFIG_DIRS=/etc/xdg/xdg-ubuntu:/etc/xdg CLUTTER_IM_MODULE=fcitx XDG_DATA_DIRS=/usr/share/ubuntu:/usr/share/gnome:/usr/local/share:/usr/share:/var/lib/snapd/desktop LC_NUMERIC=zh_CN.UTF-8 LC_PAPER=zh_CN.UTF-8
root         407  0.0  0.5 195248 95872 ?        S<s  09:14   0:00 /lib/systemd/systemd-journald
root         441  0.0  0.0  27560  7168 ?        Ss   09:14   0:00 /lib/systemd/systemd-udevd
systemd+     781  0.0  0.0  14836  6784 ?        Ss   09:15   0:03 /lib/systemd/systemd-oomd
systemd+     782  0.0  0.0  26464 14440 ?        Ss   09:15   0:00 /lib/systemd/systemd-resolved
systemd+     787  0.0  0.0  89720  7552 ?        Ssl  09:15   0:00 /lib/systemd/systemd-timesyncd
root         934  0.0  0.0 243872  8548 ?        Ssl  09:15   0:00 /usr/libexec/accounts-daemon
root         935  0.0  0.0   2816  1792 ?        Ss   09:15   0:00 /usr/sbin/acpid
avahi        938  0.0  0.0   7712  3840 ?        Ss   09:15   0:00 avahi-daemon: running [ben-Alienware-x15-R1.local]
avahi        983  0.0  0.0   7444  1668 ?        S    09:15   0:00  \_ avahi-daemon: chroot helper
root         939  0.0  0.0  10760  4864 ?        Ss   09:15   0:00 /usr/lib/bluetooth/bluetoothd
root         941  0.0  0.0  12588  3200 ?        Ss   09:15   0:00 /usr/sbin/cron -f -P
message+     942  0.0  0.0  11440  6528 ?        Ss   09:15   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         944  0.0  0.1 338716 18976 ?        Ssl  09:15   0:01 /usr/sbin/NetworkManager --no-daemon
root         950  0.0  0.0  82948  3968 ?        Ssl  09:15   0:00 /usr/sbin/irqbalance --foreground
root         953  0.0  0.1  44300 20608 ?        Ss   09:15   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         956  0.0  0.0 246584 10764 ?        Ssl  09:15   0:00 /usr/libexec/polkitd --no-debug
root         959  0.0  0.0 243292  8120 ?        Ssl  09:15   0:00 /usr/libexec/power-profiles-daemon
syslog       961  0.0  0.0 222404  5632 ?        Ssl  09:15   0:00 /usr/sbin/rsyslogd -n -iNONE
root         970  0.0  0.2 2809464 39596 ?       Ssl  09:15   0:01 /usr/lib/snapd/snapd
root         971  0.0  0.0 239648  7040 ?        Ssl  09:15   0:00 /usr/libexec/switcheroo-control
root         974  0.0  0.0  48304  7868 ?        Ss   09:15   0:00 /lib/systemd/systemd-logind
root         975  0.0  0.0  14992  6912 ?        Ss   09:15   0:00 /lib/systemd/systemd-machined
root         976  0.0  0.0 279352 10240 ?        Ssl  09:15   0:01 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root         977  0.0  0.0 393992 13224 ?        Ssl  09:15   0:00 /usr/libexec/udisks2/udisksd
root         978  0.0  0.0  17712 11008 ?        Ss   09:15   0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root        1022  0.0  0.0 318092 11576 ?        Ssl  09:15   0:00 /usr/sbin/ModemManager
root        1024  0.0  0.0 243352  7896 ?        Ssl  09:15   0:00 /usr/libexec/boltd
root        1035  0.0  0.0  76116 13440 ?        Ss   09:15   0:00 /usr/sbin/cupsd -l
root        1044  0.0  0.2 2615480 44880 ?       Ssl  09:15   0:03 /usr/bin/containerd
